target_id,tic_id,sector,camera,ccd,ra,dec,tess_mag,cadence,observation_id,product_filename,download_url,local_fits_path,status,failure_reason,created_at,lightcurve_path
TIC-671806131,671806131,98,2.0,4.0,66.354885485487,-9.02755480461825,,2.0-minute,tess2025312202959-s0098-0000000671806131-0298-s,TIC671806131_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000671806131-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC671806131_sector098.fits,screened,,2026-06-26T14:15:26.374214+00:00,TIC-671806131.npz
TIC-169420094,169420094,98,2.0,4.0,77.3032504379303,-17.5040724820302,,2.0-minute,tess2025312202959-s0098-0000000169420094-0298-s,TIC169420094_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000169420094-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC169420094_sector098.fits,screened,,2026-06-26T14:15:26.374391+00:00,TIC-169420094.npz
TIC-170672140,170672140,98,3.0,2.0,66.9238122503152,-32.2224721979825,,2.0-minute,tess2025312202959-s0098-0000000170672140-0298-s,TIC170672140_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000170672140-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC170672140_sector098.fits,screened,,2026-06-26T14:15:26.374625+00:00,TIC-170672140.npz
TIC-192846995,192846995,98,3.0,1.0,83.3398181611493,-37.7151561751079,,2.0-minute,tess2025312202959-s0098-0000000192846995-0298-s,TIC192846995_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000192846995-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC192846995_sector098.fits,screened,,2026-06-26T14:15:26.374936+00:00,TIC-192846995.npz
TIC-260507500,260507500,98,4.0,1.0,96.6827803943534,-58.8330277183264,,2.0-minute,tess2025312202959-s0098-0000000260507500-0298-s,TIC260507500_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000260507500-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC260507500_sector098.fits,screened,,2026-06-26T14:15:26.375256+00:00,TIC-260507500.npz
TIC-279510954,279510954,98,4.0,1.0,105.507221345339,-59.4605741701213,,2.0-minute,tess2025312202959-s0098-0000000279510954-0298-s,TIC279510954_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000279510954-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC279510954_sector098.fits,screened,,2026-06-26T14:15:26.375636+00:00,TIC-279510954.npz
TIC-293939752,293939752,98,1.0,3.0,77.8175471095059,13.8461100305573,,2.0-minute,tess2025312202959-s0098-0000000293939752-0298-s,TIC293939752_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000293939752-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC293939752_sector098.fits,screened,,2026-06-26T14:15:26.375872+00:00,TIC-293939752.npz
TIC-300291839,300291839,98,4.0,4.0,110.371785534888,-70.7215337374582,,2.0-minute,tess2025312202959-s0098-0000000300291839-0298-s,TIC300291839_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000300291839-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC300291839_sector098.fits,screened,,2026-06-26T14:15:26.376186+00:00,TIC-300291839.npz
TIC-459991770,459991770,98,1.0,2.0,81.0585420175234,0.25619663705095,,2.0-minute,tess2025312202959-s0098-0000000459991770-0298-s,TIC459991770_sector098.fits,mast:TESS/product/tess2025312202959-s0098-0000000459991770-0298-s_lc.fits,C:\Users\arach\Documents\Projects\Transitlens\transitlens-data-pipeline\real_tess\cache\TIC459991770_sector098.fits,screened,,2026-06-26T14:15:26.376518+00:00,TIC-459991770.npz
