target_id,tic_id,sector,candidate_detected,predicted_class,confidence,period_days,period_uncertainty_days,duration_days,duration_uncertainty_days,depth,depth_uncertainty,epoch_btjd,snr,bootstrap_fap,fit_quality,transit_count,processing_time_ms,failure_reason,evidence_level,lightcurve_path
TIC-671806131,671806131,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2714.77,,real_tess,TIC-671806131.npz
TIC-169420094,169420094,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2178.93,,real_tess,TIC-169420094.npz
TIC-170672140,170672140,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2097.47,,real_tess,TIC-170672140.npz
TIC-192846995,192846995,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2170.55,,real_tess,TIC-192846995.npz
TIC-260507500,260507500,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2109.31,,real_tess,TIC-260507500.npz
TIC-279510954,279510954,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,22965.59,,real_tess,TIC-279510954.npz
TIC-293939752,293939752,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,2153.63,,real_tess,TIC-293939752.npz
TIC-300291839,300291839,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,1950.03,,real_tess,TIC-300291839.npz
TIC-459991770,459991770,98,False,stellar_variability_or_other,1.0,,,,,,,,,,,,1972.33,,real_tess,TIC-459991770.npz
